name,medal_type,medal_date,gender,birth_date,country,discipline,event,lat,long
EVENEPOEL Remco,OURO,2024-07-27,MASCULINO,2000-01-25,Belgium,Cycling Road,Men's Individual Time Trial,50.503887,4.469936
GANNA Filippo,PRATA,2024-07-27,MASCULINO,1996-07-25,Italy,Cycling Road,Men's Individual Time Trial,41.87194,12.56738
van AERT Wout,BRONZE,2024-07-27,MASCULINO,1994-09-15,Belgium,Cycling Road,Men's Individual Time Trial,50.503887,4.469936
BROWN Grace,OURO,2024-07-27,FEMININO,1992-07-07,Australia,Cycling Road,Women's Individual Time Trial,-25.274398,133.775136
HENDERSON Anna,PRATA,2024-07-27,FEMININO,1998-11-14,Great Britain,Cycling Road,Women's Individual Time Trial,55.378051,-3.435973
DYGERT Chloe,BRONZE,2024-07-27,FEMININO,1997-01-01,United States,Cycling Road,Women's Individual Time Trial,38.7945952,-106.5348379
OH Sanguk,OURO,2024-07-27,MASCULINO,1996-09-30,Korea,Fencing,Men's Sabre Individual,35.907757,127.766922
FERJANI Fares,PRATA,2024-07-27,MASCULINO,1997-07-22,Tunisia,Fencing,Men's Sabre Individual,33.886917,9.537499
SAMELE Luigi,BRONZE,2024-07-27,MASCULINO,1987-07-25,Italy,Fencing,Men's Sabre Individual,41.87194,12.56738
KONG Man Wai Vivian,OURO,2024-07-27,FEMININO,1994-02-08,Hong Kong,Fencing,Women's Epee Individual,22.3193039,114.1693611
MALLO-BRETON Auriane,PRATA,2024-07-27,FEMININO,1993-10-11,France,Fencing,Women's Epee Individual,46.227638,2.213749
MUHARI Eszter,BRONZE,2024-07-27,FEMININO,2002-09-30,Hungary,Fencing,Women's Epee Individual,47.162494,19.503304
SMETOV Yeldos,OURO,2024-07-27,MASCULINO,1992-09-09,Kazakhstan,Judo,Men -60 kg,48.019573,66.923684
MKHEIDZE Luka,PRATA,2024-07-27,MASCULINO,1996-01-05,France,Judo,Men -60 kg,46.227638,2.213749
NAGAYAMA Ryuju,BRONZE,2024-07-27,MASCULINO,1996-04-15,Japan,Judo,Men -60 kg,36.204824,138.252924
GARRIGOS Francisco,BRONZE,2024-07-27,MASCULINO,1994-12-09,Spain,Judo,Men -60 kg,40.463667,-3.74922
TSUNODA Natsumi,OURO,2024-07-27,FEMININO,1992-08-06,Japan,Judo,Women -48 kg,36.204824,138.252924
BAVUUDORJ Baasankhuu,PRATA,2024-07-27,FEMININO,1999-11-26,Mongolia,Judo,Women -48 kg,46.862496,103.846656
BOUKLI Shirine,BRONZE,2024-07-27,FEMININO,1999-01-24,France,Judo,Women -48 kg,46.227638,2.213749
BABULFATH Tara,BRONZE,2024-07-27,FEMININO,2006-01-03,Sweden,Judo,Women -48 kg,60.128161,18.643501
MAERTENS Lukas,OURO,2024-07-27,MASCULINO,2001-12-27,Germany,Swimming,Men's 400m Freestyle,51.165691,10.451526
WINNINGTON Elijah,PRATA,2024-07-27,MASCULINO,2000-05-05,Australia,Swimming,Men's 400m Freestyle,-25.274398,133.775136
KIM Woomin,BRONZE,2024-07-27,MASCULINO,2001-08-24,Korea,Swimming,Men's 400m Freestyle,35.907757,127.766922
TITMUS Ariarne,OURO,2024-07-27,FEMININO,2000-09-07,Australia,Swimming,Women's 400m Freestyle,-25.274398,133.775136
McINTOSH Summer,PRATA,2024-07-27,FEMININO,2006-08-18,Canada,Swimming,Women's 400m Freestyle,56.130366,-106.346771
LEDECKY Katie,BRONZE,2024-07-27,FEMININO,1997-03-17,United States,Swimming,Women's 400m Freestyle,38.7945952,-106.5348379
FOX Jessica,OURO,2024-07-28,FEMININO,1994-06-11,Australia,Canoe Slalom,Women's Kayak Single,-25.274398,133.775136
ZWOLINSKA Klaudia,PRATA,2024-07-28,FEMININO,1998-12-18,Poland,Canoe Slalom,Women's Kayak Single,51.919438,19.145136
WOODS Kimberley,BRONZE,2024-07-28,FEMININO,1995-09-08,Great Britain,Canoe Slalom,Women's Kayak Single,55.378051,-3.435973
FERRAND PREVOT Pauline,OURO,2024-07-28,FEMININO,1992-02-10,France,Cycling Mountain Bike,Women's Cross-country,46.227638,2.213749
BATTEN Haley,PRATA,2024-07-28,FEMININO,1998-09-19,United States,Cycling Mountain Bike,Women's Cross-country,38.7945952,-106.5348379
RISSVEDS Jenny,BRONZE,2024-07-28,FEMININO,1994-06-06,Sweden,Cycling Mountain Bike,Women's Cross-country,60.128161,18.643501
KANO Koki,OURO,2024-07-28,MASCULINO,1997-12-19,Japan,Fencing,Men's Epee Individual,36.204824,138.252924
BOREL Yannick,PRATA,2024-07-28,MASCULINO,1988-11-05,France,Fencing,Men's Epee Individual,46.227638,2.213749
ELSAYED Mohamed,BRONZE,2024-07-28,MASCULINO,2003-03-03,Egypt,Fencing,Men's Epee Individual,26.820553,30.802498
KIEFER Lee,OURO,2024-07-28,FEMININO,1994-06-15,United States,Fencing,Women's Foil Individual,38.7945952,-106.5348379
SCRUGGS Lauren,PRATA,2024-07-28,FEMININO,2003-01-27,United States,Fencing,Women's Foil Individual,38.7945952,-106.5348379
HARVEY Eleanor,BRONZE,2024-07-28,FEMININO,1995-01-14,Canada,Fencing,Women's Foil Individual,56.130366,-106.346771
ABE Hifumi,OURO,2024-07-28,MASCULINO,1997-08-09,Japan,Judo,Men -66 kg,36.204824,138.252924
LIMA Willian,PRATA,2024-07-28,MASCULINO,2000-01-31,Brazil,Judo,Men -66 kg,-14.235004,-51.92528
KYRGYZBAYEV Gusman,BRONZE,2024-07-28,MASCULINO,1992-09-28,Kazakhstan,Judo,Men -66 kg,48.019573,66.923684
VIERU Denis,BRONZE,2024-07-28,MASCULINO,1996-03-10,Republic of Moldova,Judo,Men -66 kg,47.411631,28.369885
KELDIYOROVA Diyora,OURO,2024-07-28,FEMININO,1998-07-13,Uzbekistan,Judo,Women -52 kg,41.377491,64.585262
KRASNIQI Distria,PRATA,2024-07-28,FEMININO,1995-12-10,Kosovo,Judo,Women -52 kg,42.6026359,20.902977
PIMENTA Larissa,BRONZE,2024-07-28,FEMININO,1999-03-01,Brazil,Judo,Women -52 kg,-14.235004,-51.92528
BUCHARD Amandine,BRONZE,2024-07-28,FEMININO,1995-07-12,France,Judo,Women -52 kg,46.227638,2.213749
XIE Yu,OURO,2024-07-28,MASCULINO,2000-06-12,China,Shooting,10m Air Pistol Men,35.86166,104.195397
MALDINI Federico Nilo,PRATA,2024-07-28,MASCULINO,2001-03-28,Italy,Shooting,10m Air Pistol Men,41.87194,12.56738
MONNA Paolo,BRONZE,2024-07-28,MASCULINO,1998-04-19,Italy,Shooting,10m Air Pistol Men,41.87194,12.56738
OH Ye Jin,OURO,2024-07-28,FEMININO,2005-05-10,Korea,Shooting,10m Air Pistol Women,35.907757,127.766922
KIM Yeji,PRATA,2024-07-28,FEMININO,1992-09-04,Korea,Shooting,10m Air Pistol Women,35.907757,127.766922
BHAKER Manu,BRONZE,2024-07-28,FEMININO,2002-02-18,India,Shooting,10m Air Pistol Women,20.593684,78.96288
YOSHIZAWA Coco,OURO,2024-07-28,FEMININO,2009-09-22,Japan,Skateboarding,Women's Street,36.204824,138.252924
AKAMA Liz,PRATA,2024-07-28,FEMININO,2009-01-08,Japan,Skateboarding,Women's Street,36.204824,138.252924
LEAL Rayssa,BRONZE,2024-07-28,FEMININO,2008-01-04,Brazil,Skateboarding,Women's Street,-14.235004,-51.92528
MARTINENGHI Nicolo,OURO,2024-07-28,MASCULINO,1999-08-01,Italy,Swimming,Men's 100m Breaststroke,41.87194,12.56738
PEATY Adam,PRATA,2024-07-28,MASCULINO,1994-12-28,Great Britain,Swimming,Men's 100m Breaststroke,55.378051,-3.435973
FINK Nic,PRATA,2024-07-28,MASCULINO,1993-07-03,United States,Swimming,Men's 100m Breaststroke,38.7945952,-106.5348379
MARCHAND Leon,OURO,2024-07-28,MASCULINO,2002-05-17,France,Swimming,Men's 400m Individual Medley,46.227638,2.213749
MATSUSHITA Tomoyuki,PRATA,2024-07-28,MASCULINO,2005-08-01,Japan,Swimming,Men's 400m Individual Medley,36.204824,138.252924
FOSTER Carson,BRONZE,2024-07-28,MASCULINO,2001-10-26,United States,Swimming,Men's 400m Individual Medley,38.7945952,-106.5348379
HUSKE Torri,OURO,2024-07-28,FEMININO,2002-12-07,United States,Swimming,Women's 100m Butterfly,38.7945952,-106.5348379
WALSH Gretchen,PRATA,2024-07-28,FEMININO,2003-01-29,United States,Swimming,Women's 100m Butterfly,38.7945952,-106.5348379
ZHANG Yufei,BRONZE,2024-07-28,FEMININO,1998-04-19,China,Swimming,Women's 100m Butterfly,35.86166,104.195397
GESTIN Nicolas,OURO,2024-07-29,MASCULINO,2000-03-14,France,Canoe Slalom,Men's Canoe Single,46.227638,2.213749
BURGESS Adam,PRATA,2024-07-29,MASCULINO,1992-07-17,Great Britain,Canoe Slalom,Men's Canoe Single,55.378051,-3.435973
BENUS Matej,BRONZE,2024-07-29,MASCULINO,1987-11-02,Slovakia,Canoe Slalom,Men's Canoe Single,48.669026,19.699024
PIDCOCK Thomas,OURO,2024-07-29,MASCULINO,1999-07-30,Great Britain,Cycling Mountain Bike,Men's Cross-country,55.378051,-3.435973
KORETZKY Victor,PRATA,2024-07-29,MASCULINO,1994-08-26,France,Cycling Mountain Bike,Men's Cross-country,46.227638,2.213749
HATHERLY Alan,BRONZE,2024-07-29,MASCULINO,1996-03-15,South Africa,Cycling Mountain Bike,Men's Cross-country,-30.559482,22.937506
JUNG Michael,OURO,2024-07-29,MASCULINO,1982-07-31,Germany,Equestrian,Eventing Individual,51.165691,10.451526
BURTON Christopher,PRATA,2024-07-29,MASCULINO,1981-11-22,Australia,Equestrian,Eventing Individual,-25.274398,133.775136
COLLETT Laura,BRONZE,2024-07-29,FEMININO,1989-08-31,Great Britain,Equestrian,Eventing Individual,55.378051,-3.435973
CHEUNG Ka Long,OURO,2024-07-29,MASCULINO,1997-06-10,Hong Kong,Fencing,Men's Foil Individual,22.3193039,114.1693611
MACCHI Filippo,PRATA,2024-07-29,MASCULINO,2001-09-19,Italy,Fencing,Men's Foil Individual,41.87194,12.56738
ITKIN Nick,BRONZE,2024-07-29,MASCULINO,1999-10-09,United States,Fencing,Men's Foil Individual,38.7945952,-106.5348379
APITHY-BRUNET Manon,OURO,2024-07-29,FEMININO,1996-02-07,France,Fencing,Women's Sabre Individual,46.227638,2.213749
BALZER Sara,PRATA,2024-07-29,FEMININO,1995-04-03,France,Fencing,Women's Sabre Individual,46.227638,2.213749
KHARLAN Olga,BRONZE,2024-07-29,FEMININO,1990-09-04,Ukraine,Fencing,Women's Sabre Individual,48.379433,31.16558
HEYDAROV Hidayat,OURO,2024-07-29,MASCULINO,1997-07-27,Azerbaijan,Judo,Men -73 kg,40.143105,47.576927
GABA Joan-Benjamin,PRATA,2024-07-29,MASCULINO,2001-01-07,France,Judo,Men -73 kg,46.227638,2.213749
OSMANOV Adil,BRONZE,2024-07-29,MASCULINO,2000-07-02,Republic of Moldova,Judo,Men -73 kg,47.411631,28.369885
HASHIMOTO Soichi,BRONZE,2024-07-29,MASCULINO,1991-08-24,Japan,Judo,Men -73 kg,36.204824,138.252924
DEGUCHI Christa,OURO,2024-07-29,FEMININO,1995-10-29,Canada,Judo,Women -57 kg,56.130366,-106.346771
HUH Mimi,PRATA,2024-07-29,FEMININO,2002-12-19,Korea,Judo,Women -57 kg,35.907757,127.766922
FUNAKUBO Haruka,BRONZE,2024-07-29,FEMININO,1998-10-10,Japan,Judo,Women -57 kg,36.204824,138.252924
CYSIQUE Sarah Leonie,BRONZE,2024-07-29,FEMININO,1998-07-06,France,Judo,Women -57 kg,46.227638,2.213749
SHENG Lihao,OURO,2024-07-29,MASCULINO,2004-12-04,China,Shooting,10m Air Rifle Men,35.86166,104.195397
LINDGREN Victor,PRATA,2024-07-29,MASCULINO,2003-05-16,Sweden,Shooting,10m Air Rifle Men,60.128161,18.643501
MARICIC Miran,BRONZE,2024-07-29,MASCULINO,1997-06-17,Croatia,Shooting,10m Air Rifle Men,45.1,15.2
BAN Hyojin,OURO,2024-07-29,FEMININO,2007-09-20,Korea,Shooting,10m Air Rifle Women,35.907757,127.766922
HUANG Yuting,PRATA,2024-07-29,FEMININO,2006-09-03,China,Shooting,10m Air Rifle Women,35.86166,104.195397
GOGNIAT Audrey,BRONZE,2024-07-29,FEMININO,2002-10-30,Switzerland,Shooting,10m Air Rifle Women,46.818188,8.227512
HORIGOME Yuto,OURO,2024-07-29,MASCULINO,1999-01-07,Japan,Skateboarding,Men's Street,36.204824,138.252924
EATON Jagger,PRATA,2024-07-29,MASCULINO,2001-02-21,United States,Skateboarding,Men's Street,38.7945952,-106.5348379
HUSTON Nyjah,BRONZE,2024-07-29,MASCULINO,1994-11-30,United States,Skateboarding,Men's Street,38.7945952,-106.5348379
CECCON Thomas,OURO,2024-07-29,MASCULINO,2001-01-27,Italy,Swimming,Men's 100m Backstroke,41.87194,12.56738
XU Jiayu,PRATA,2024-07-29,MASCULINO,1995-08-19,China,Swimming,Men's 100m Backstroke,35.86166,104.195397
MURPHY Ryan,BRONZE,2024-07-29,MASCULINO,1995-07-02,United States,Swimming,Men's 100m Backstroke,38.7945952,-106.5348379
POPOVICI David,OURO,2024-07-29,MASCULINO,2004-09-15,Romania,Swimming,Men's 200m Freestyle,45.943161,24.96676
RICHARDS Matthew,PRATA,2024-07-29,MASCULINO,2002-12-17,Great Britain,Swimming,Men's 200m Freestyle,55.378051,-3.435973
HOBSON Luke,BRONZE,2024-07-29,MASCULINO,2003-06-25,United States,Swimming,Men's 200m Freestyle,38.7945952,-106.5348379
SMITH Tatjana,OURO,2024-07-29,FEMININO,1997-07-09,South Africa,Swimming,Women's 100m Breaststroke,-30.559482,22.937506
TANG Qianting,PRATA,2024-07-29,FEMININO,2004-03-14,China,Swimming,Women's 100m Breaststroke,35.86166,104.195397
Mc SHARRY Mona,BRONZE,2024-07-29,FEMININO,2000-08-21,Ireland,Swimming,Women's 100m Breaststroke,53.7797554,-7.3055309
O'CALLAGHAN Mollie,OURO,2024-07-29,FEMININO,2004-04-02,Australia,Swimming,Women's 200m Freestyle,-25.274398,133.775136
TITMUS Ariarne,PRATA,2024-07-29,FEMININO,2000-09-07,Australia,Swimming,Women's 200m Freestyle,-25.274398,133.775136
HAUGHEY Siobhan Bernadette,BRONZE,2024-07-29,FEMININO,1997-10-31,Hong Kong,Swimming,Women's 200m Freestyle,22.3193039,114.1693611
McINTOSH Summer,OURO,2024-07-29,FEMININO,2006-08-18,Canada,Swimming,Women's 400m Individual Medley,56.130366,-106.346771
GRIMES Katie,PRATA,2024-07-29,FEMININO,2006-01-08,United States,Swimming,Women's 400m Individual Medley,38.7945952,-106.5348379
WEYANT Emma,BRONZE,2024-07-29,FEMININO,2001-12-24,United States,Swimming,Women's 400m Individual Medley,38.7945952,-106.5348379
NAGASE Takanori,OURO,2024-07-30,MASCULINO,1993-10-14,Japan,Judo,Men -81 kg,36.204824,138.252924
GRIGALASHVILI Tato,PRATA,2024-07-30,MASCULINO,1999-12-01,Georgia,Judo,Men -81 kg,42.315407,43.356892
